GENE PRODUCT ID,GO TERM
A6NJG6,GO:0005634
A6NJG6,GO:0000785
A6NJT0,GO:0000785
A6NJY4,GO:0005789
A6NJZ7,GO:0002177
A6NJZ7,GO:0005575
A6NJZ7,GO:0005634
A6NK02,GO:0005737
A6NK02,GO:0005829
A6NK02,GO:0005615
A6NK06,GO:0005739
A6NK58,GO:0005739
A6NK58,GO:0005759
A6NKB5,GO:0005575
A6NKF1,GO:0005634
A6NKF1,GO:0005813
A6NKF1,GO:0005819
A6NKF2,GO:0005634
A6NKF2,GO:0045121
A6NKF7,GO:0005886
A6NKQ9,GO:0005615
A6NKQ9,GO:0005737
A6NKT7,GO:0005737
A6NKT7,GO:0005643
A6NL88,GO:0098978
A6NL88,GO:0098985
A6NL88,GO:0032281
A6NL88,GO:0014069
A6NL88,GO:0032591
A6NL88,GO:0045211
A6NL99,GO:0005886
A6NL99,GO:0016323
A6NLC8,GO:0005669
A6NLI5,GO:0005737
A6NLU0,GO:0005654
A6NLU0,GO:0005737
A6NLU0,GO:0005829
A6NLW8,GO:0005634
A6NLW8,GO:0005654
A6NLW8,GO:0000785
A6NM03,GO:0005886
A6NM28,GO:0005634
A6NM43,GO:0005832
A6NMB1,GO:0005886
A6NMB9,GO:0031252
A6NMN3,GO:0001669
A6NMN3,GO:0002081
A6NMT0,GO:0000785
A6NMX2,GO:0016281
A6NMY6,GO:0005737
A6NMY6,GO:0005886
A6NMY6,GO:0070062
A6NN14,GO:0005634
A6NN92,GO:0005922
A6NNA5,GO:0000785
A6NND4,GO:0005886
A6NNF4,GO:0005634
A6NNM3,GO:0002177
A6NNM3,GO:0005634
A6NNM8,GO:0005929
A6NNM8,GO:0005829
A6NNS2,GO:0014801
A6NNS2,GO:0033017
A6NNW6,GO:0005575
A6NNW6,GO:0000015
A6NNZ2,GO:0005737
A6NNZ2,GO:0005874
A6NNZ2,GO:0015630
A6NNZ2,GO:0045171
A6NNZ2,GO:0070062
A6NNZ2,GO:0072686
A6NP61,GO:0005737
A6NP61,GO:0043232
A6PVC2,GO:0005930
A6PVC2,GO:0015630
A6PVC2,GO:0005829
A6PVC2,GO:0005929
A6PVC2,GO:0036126
A6PVI3,GO:0005846
A7E2V4,GO:0005829
A7E2V4,GO:0031462
A7E2V4,GO:0031463
A7KAX9,GO:0001650
A7KAX9,GO:0005654
A7KAX9,GO:0005794
A7KAX9,GO:0005938
A7KAX9,GO:0015629
A7KAX9,GO:0005829
A7KAX9,GO:0014069
A7MBM2,GO:0005575
A7MBM2,GO:0016020
A7MBM2,GO:0005886
A7MCY6,GO:0005737
A7MCY6,GO:1902554
A7MD48,GO:0005634
A8CG34,GO:0005635
A8CG34,GO:0005654
A8CG34,GO:0031965
A8CG34,GO:0005643
A8K0Z3,GO:0000145
A8K0Z3,GO:0005769
A8K0Z3,GO:0055037
A8K0Z3,GO:0005776
A8K0Z3,GO:0031901
A8K0Z3,GO:0071203
A8K2U0,GO:0005615
A8K2U0,GO:0070062
A8K5M9,GO:0005737
A8K5M9,GO:0005856
A8K5M9,GO:0005886
A8K7I4,GO:0005886
A8K8V0,GO:0005634
A8MPP1,GO:0005634
A8MPY1,GO:0005575
A8MPY1,GO:0005886
A8MPY1,GO:0043005
A8MPY1,GO:0045202
A8MPY1,GO:1902495
A8MPY1,GO:1902711
A8MQ03,GO:0001533
A8MQ03,GO:0070062
A8MQ14,GO:0005634
A8MQ27,GO:0005769
A8MQ27,GO:0005829
A8MQ27,GO:0015629
A8MT65,GO:0005634
A8MT69,GO:0000785
A8MT69,GO:0000939
A8MT69,GO:0005634
A8MT69,GO:0005654
A8MT69,GO:0005829
A8MT69,GO:0071821
A8MT69,GO:0043240
A8MTI9,GO:0005615
A8MTJ3,GO:0001750
A8MTJ3,GO:0001917
A8MTJ3,GO:0005737
A8MTJ3,GO:0005886
A8MTJ3,GO:0005834
A8MTJ3,GO:0032991
A8MTJ6,GO:0005634
A8MTL3,GO:0000795
A8MTQ0,GO:0005634
A8MTQ0,GO:0000785
A8MTZ0,GO:0005737
A8MTZ0,GO:0005829
A8MTZ0,GO:0034464
A8MTZ0,GO:0060170
A8MUH7,GO:0016324
A8MUK1,GO:0005634
A8MUK1,GO:0005829
A8MUM7,GO:0005575
A8MUU1,GO:0005634
A8MUU1,GO:0005829
A8MUZ8,GO:0005634
A8MV81,GO:0005739
A8MVJ9,GO:0005634
A8MVU1,GO:0005737
A8MVU1,GO:0043020
A8MVW5,GO:0005794
A8MVW5,GO:0005813
A8MVW5,GO:0005819
A8MVW5,GO:0030496
A8MVW5,GO:0005654
A8MVW5,GO:0043231
A8MVW5,GO:0072686
A8MVZ5,GO:0009897
A8MW92,GO:0005654
A8MW92,GO:0044545
A8MW95,GO:0000407
A8MW95,GO:0034271
A8MW95,GO:0034272
A8MW99,GO:0000800
A8MW99,GO:0005694
A8MWA4,GO:0005634
A8MWD9,GO:0043186
A8MWD9,GO:0005682
A8MWD9,GO:0005685
A8MWD9,GO:0005686
A8MWD9,GO:0005687
A8MWD9,GO:0005689
A8MWD9,GO:0034719
A8MWD9,GO:0071004
A8MWD9,GO:0071011
A8MWD9,GO:0071013
A8MWD9,GO:0097526
A8MWX3,GO:0005769
A8MWX3,GO:0055037
A8MWX3,GO:0031901
A8MWX3,GO:0071203
A8MWY0,GO:0005886
A8MX76,GO:0005737
A8MXD5,GO:0032420
A8MXD5,GO:0060091
A8MXE2,GO:0000139
A8MXV4,GO:0005575
A8MXV4,GO:0005782
A8MXV4,GO:0005829
A8MXY4,GO:0005634
A8MYU2,GO:0016020
A8MYU2,GO:0005886
A8MYZ6,GO:0005634
A8MYZ6,GO:0005737
A8MYZ6,GO:0000785
A8MZ26,GO:0005737
A8MZ26,GO:0097228
A8MZ26,GO:0036128
A8MZ59,GO:0005634
A8MZ59,GO:0005654
A8MZ59,GO:0000785
A9QM74,GO:0005634
A9QM74,GO:0005654
A9QM74,GO:0005829
A9QM74,GO:0042564
A9UHW6,GO:0005829
A9UHW6,GO:0005730
A9UHW6,GO:0005737
A9UHW6,GO:0005794
A9UHW6,GO:0062073
A9Z1Z3,GO:0030672
B0I1T2,GO:0005737
B0I1T2,GO:0005886
B0I1T2,GO:0005902
B0I1T2,GO:0015629
B0I1T2,GO:0001891
B0I1T2,GO:0005654
B0I1T2,GO:0016020
B0I1T2,GO:0070062
B0L3A2,GO:0005886
B0YJ81,GO:0005789
B0YJ81-1,GO:0005783
B1AK53,GO:0005737
B1AK53,GO:0005902
B1AK53,GO:0005903
B1AK53,GO:0032420
B1AK53,GO:0032426
B1AK53,GO:0031941
B1AL88,GO:0005886
B1ANY3,GO:0005634
B1APH4,GO:0005634
B1APH4,GO:0000785
B2RTY4,GO:0005884
B2RTY4,GO:0044295
B2RTY4,GO:0005829
B2RTY4,GO:0016461
B2RUY7,GO:0005615
B2RUY7,GO:0032281
B2RXF5,GO:0005634
B2RXF5,GO:0005654
B2RXF5,GO:0005886
B2RXH2,GO:0005634
B2RXH2,GO:0005654
B2RXH2,GO:0000785
B2RXH4,GO:0005634
B3KU38,GO:0005886
B3KU38,GO:0030054
B3KU38,GO:0043194
B4DU55,GO:0005634
B5MD39,GO:0070062
B5ME19,GO:0005852
B6A8C7,GO:0005886
B6A8C7,GO:0035579
B6A8C7,GO:0070821
B7U540,GO:0005886
B7Z6K7,GO:0005634
B7ZAQ6,GO:0032580
B7ZAQ6,GO:0030660
B7ZBB8,GO:0000164
B7ZC32,GO:0005874
B7ZC32,GO:0031966
B7ZC32,GO:0005871
B9A014,GO:0005575
B9A064,GO:0070062
B9A064,GO:0071735
C0HLU2,GO:0005634
C0HLU2,GO:0005737
C0HLV8,GO:0005739
C0HM98,GO:0005634
C0HMA1,GO:0005634
C0HMA1,GO:0005737
C4AMC7,GO:0005769
C4AMC7,GO:0055037
C4AMC7,GO:0030027
C4AMC7,GO:0030175
C4AMC7,GO:0031901
C4AMC7,GO:0071203
C9J1S8,GO:0005737
C9J202,GO:0005783
C9J2P7,GO:0005634
C9J2P7,GO:0005829
C9JCN9,GO:0005634
C9JCN9,GO:0005829
C9JE40,GO:1990904
C9JE40,GO:0000932
C9JE40,GO:0005634
C9JE40,GO:0005737
C9JJH3,GO:0005634
C9JJH3,GO:0005829
C9JLJ4,GO:0005634
C9JLJ4,GO:0005829
C9JLW8,GO:0005634
C9JLW8,GO:0005737
C9JLW8,GO:0010494
C9JN71,GO:0005634
C9JPN9,GO:0005634
C9JPN9,GO:0005829
C9JRZ8,GO:0005739
C9JRZ8,GO:0005829
C9JRZ8,GO:0005759
C9JUS6,GO:0005575
C9JVI0,GO:0005634
C9JVI0,GO:0005829
C9JXX5,GO:0005789
D3W0D1,GO:0005886
D6R901,GO:0005634
D6R901,GO:0005829
D6R9N7,GO:0005634
D6R9N7,GO:0005829
D6RA61,GO:0005634
D6RA61,GO:0005829
D6RBQ6,GO:0005634
D6RBQ6,GO:0005829
D6RCP7,GO:0005634
D6RCP7,GO:0005829
D6RGH6,GO:0005730
D6RGH6,GO:0005634
D6RGH6,GO:0016604
D6RJB6,GO:0005634
D6RJB6,GO:0005829
E0CX11,GO:0005743
E0CX11,GO:0005746
E0CX11,GO:0005741
E0CX11,GO:0005758
E7ETH6,GO:0005634
E9PAV3,GO:0005737
E9PB15,GO:0005634
E9PB15,GO:0005829
E9PGG2,GO:0005634
E9PGG2,GO:0005667
F5GYI3,GO:0000813
F5H284,GO:0005737
F8VTS6,GO:0005654
F8VTS6,GO:0005737
F8VTS6,GO:0005829
G2XKQ0,GO:0016605
G2XKQ0,GO:0005634
G3V0H7,GO:0016323
H0YL14,GO:0005940
H0YL14,GO:0015630
H0YL14,GO:0032153
H0YL14,GO:0005634
H0YL14,GO:0005654
H0YL14,GO:0005737
H0YL14,GO:0031105
H3BNL1,GO:0005575
H3BQB6,GO:0005737
H3BQB6,GO:0043005
H3BRN8,GO:0005879
I1YAP6,GO:0005737
K9M1U5,GO:0005615
K9M1U5,GO:0005737
L0R8F8,GO:0005739
L0R8F8,GO:0005759
M0R2J8,GO:0030496
M0R2J8,GO:0072686
M0R2J8,GO:0090543
M5A8F1,GO:0005886
M5A8F1,GO:0005615
O00110,GO:0005634
O00110,GO:0000785
O00115,GO:0005764
O00115,GO:0070062
O00116,GO:0005777
O00116,GO:0005739
O00116,GO:0005778
O00116,GO:0005782
O00116,GO:0005829
O00116,GO:0016020
O00124,GO:0005634
O00124,GO:0005783
O00124,GO:0005654
O00124,GO:0005730
O00124,GO:0005789
O00124,GO:0000151
O00139,GO:0000922
O00139,GO:0005874
O00139,GO:0005876
O00139,GO:0005813
O00139,GO:0005819
O00139,GO:0005654
O00139,GO:0005730
O00139,GO:0005737
O00139,GO:0005814
O00139,GO:0005829
O00139,GO:0016020
O00139,GO:0016604
O00139,GO:0005871
O00139,GO:0120103
O00141,GO:0005634
O00141,GO:0005737
O00141,GO:0005654
O00141,GO:0005829
O00141,GO:0016607
O00142,GO:0005737
O00142,GO:0005739
O00142,GO:0005759
O00144,GO:0005886
O00144,GO:0005737
O00144,GO:0005789
O00144,GO:0005794
O00144,GO:0009986
O00144,GO:0016020
O00144,GO:0031966
O00148,GO:0005737
O00148,GO:0005634
O00148,GO:0005654
O00148,GO:0016020
O00148,GO:0016607
O00151,GO:0001725
O00151,GO:0005912
O00151,GO:0030018
O00151,GO:0005737
O00151,GO:0005856
O00151,GO:0005925
O00151,GO:0031941
O00154,GO:0005737
O00154,GO:0005829
O00154,GO:0005654
O00154,GO:0070062
O00155,GO:0005886
O00159,GO:0001725
