From src:'1'	To src:'2'
CHEMBL29188	DB14065
CHEMBL4297615	DB14867
CHEMBL379692	DB07527
CHEMBL265758	DB01906
CHEMBL3911164	DB13126
CHEMBL211538	DB12810
CHEMBL54277	DB03100
CHEMBL4585668	DB15463
CHEMBL460282	DB13334
CHEMBL3707204	DB13769
CHEMBL941	DB00619
CHEMBL3341965	DB12244
CHEMBL2104783	DB13861
CHEMBL3707366	DB11876
CHEMBL70927	DB08826
CHEMBL4296682	DB15023
CHEMBL2424780	DB12687
CHEMBL4298157	DB17261
CHEMBL3759231	DB15684
CHEMBL182260	DB04607
CHEMBL1201165	DB04575
CHEMBL284092	DB12184
CHEMBL1200359	DB06821
CHEMBL1550	DB01022
CHEMBL1732	DB00320
CHEMBL4594409	DB16187
CHEMBL388978	DB02010
CHEMBL3545360	DB12729
CHEMBL237500	DB08882
CHEMBL255044	DB06623
CHEMBL2064455	DB16168
CHEMBL3586573	DB12740
CHEMBL203321	DB12151
CHEMBL313302	DB13304
CHEMBL1092581	DB07238
CHEMBL181276	DB16290
CHEMBL293034	DB08213
CHEMBL1159902	DB03592
CHEMBL43185	DB12582
CHEMBL1201346	DB01014
CHEMBL2106530	DB13325
CHEMBL3991065	DB16098
CHEMBL1572	DB00955
CHEMBL2104619	DB06229
CHEMBL1201236	DB00190
CHEMBL121810	DB06525
CHEMBL1515611	DB13370
CHEMBL469	DB00465
CHEMBL1200375	DB14598
CHEMBL274467	DB04619
CHEMBL26828	DB03824
CHEMBL501351	DB15574
CHEMBL247767	DB01683
CHEMBL4297586	DB15079
CHEMBL518647	DB07414
CHEMBL3348932	DB15578
CHEMBL682	DB00613
CHEMBL150	DB01852
CHEMBL1201891	DB11921
CHEMBL3545057	DB00511
CHEMBL1231606	DB07525
CHEMBL4594254	DB17065
CHEMBL1346	DB00496
CHEMBL40422	DB02386
CHEMBL158	DB00355
CHEMBL495898	DB08111
CHEMBL260829	DB13082
CHEMBL897	DB01032
CHEMBL226117	DB03440
CHEMBL1194345	DB07021
CHEMBL4112930	DB14769
CHEMBL1261	DB04272
CHEMBL1835207	DB12378
CHEMBL2105710	DB12977
CHEMBL309499	DB03770
CHEMBL516268	DB16097
CHEMBL485323	DB08026
CHEMBL550348	DB01609
CHEMBL3616752	DB13928
CHEMBL310671	DB12418
CHEMBL70421	DB02025
CHEMBL290916	DB12243
CHEMBL1228	DB03585
CHEMBL49004	DB04191
CHEMBL2111083	DB05590
CHEMBL395336	DB02315
CHEMBL821	DB00536
CHEMBL255134	DB06974
CHEMBL450995	DB08101
CHEMBL545	DB00898
CHEMBL1229656	DB02648
CHEMBL1389	DB00367
CHEMBL506569	DB13467
CHEMBL4117187	DB06140
CHEMBL431770	DB11757
CHEMBL2356993	DB16003
CHEMBL1428	DB00393
CHEMBL1235108	DB08359
CHEMBL841	DB00836
CHEMBL385178	DB07183
CHEMBL4078100	DB17018
CHEMBL167150	DB11473
CHEMBL2178573	DB16066
CHEMBL1235702	DB04776
CHEMBL2105681	DB06365
CHEMBL23013	DB13296
CHEMBL1605443	DB15779
CHEMBL225546	DB03515
CHEMBL4297450	DB12087
CHEMBL1163085	DB03325
CHEMBL509336	DB11541
CHEMBL3186112	DB13526
CHEMBL76768	DB08848
CHEMBL1371937	DB11204
CHEMBL79686	DB15955
CHEMBL918	DB01121
CHEMBL473922	DB02230
CHEMBL292963	DB07450
CHEMBL224867	DB04348
CHEMBL2104314	DB14074
CHEMBL1921976	DB12066
CHEMBL120643	DB12647
CHEMBL119084	DB04002
CHEMBL564	DB00420
CHEMBL1232369	DB03943
CHEMBL24171	DB12216
CHEMBL494089	DB12745
CHEMBL54976	DB00150
CHEMBL1199734	DB02790
CHEMBL2059028	DB12761
CHEMBL99203	DB04604
CHEMBL447664	DB06625
CHEMBL839	DB00521
CHEMBL4297522	DB15102
CHEMBL261557	DB16763
CHEMBL4297626	DB16255
CHEMBL173809	DB14064
CHEMBL292687	DB11831
CHEMBL1455	DB00488
CHEMBL384304	DB08094
CHEMBL3234035	DB05048
CHEMBL270672	DB08168
CHEMBL1201207	DB14669
CHEMBL2106633	DB14077
CHEMBL2361014	DB01562
CHEMBL1231193	DB08645
CHEMBL339231	DB13023
CHEMBL16073	DB03783
CHEMBL259420	DB08461
CHEMBL47590	DB04407
CHEMBL1255	DB03843
CHEMBL4094894	DB16295
CHEMBL50300	DB02823
CHEMBL87697	DB13757
CHEMBL267099	DB03172
CHEMBL2107608	DB12927
CHEMBL222419	DB07471
CHEMBL4297593	DB12507
CHEMBL420910	DB01773
CHEMBL407632	DB02872
CHEMBL2106968	DB13356
CHEMBL9	DB01059
CHEMBL29024	DB04798
CHEMBL1788396	DB13599
CHEMBL1290003	DB00889
CHEMBL1200614	DB09134
CHEMBL2110679	DB14971
CHEMBL184151	DB06927
CHEMBL640	DB01035
CHEMBL1230438	DB01561
CHEMBL1908350	DB13409
CHEMBL3137336	DB11969
CHEMBL81	DB00481
CHEMBL609728	DB05492
CHEMBL474637	DB08018
CHEMBL313833	DB00752
CHEMBL2105391	DB13632
CHEMBL2110954	DB04926
CHEMBL1618102	DB09300
CHEMBL1532734	DB15679
CHEMBL3544977	DB13041
CHEMBL1235529	DB08441
CHEMBL1604	DB01333
CHEMBL628	DB00806
CHEMBL1221702	DB07003
CHEMBL130266	DB03435
CHEMBL1697837	DB08968
CHEMBL1160508	DB02153
CHEMBL1973733	DB11184
CHEMBL1213406	DB07055
CHEMBL1987518	DB11115
CHEMBL1590	DB00852
CHEMBL1684	DB00436
CHEMBL1142	DB14144
CHEMBL2105737	DB09143
CHEMBL312443	DB06554
CHEMBL2104273	DB13468
CHEMBL4297661	DB14944
CHEMBL1617	DB01220
CHEMBL648	DB01176
CHEMBL82767	DB07163
CHEMBL506649	DB08310
CHEMBL108358	DB13243
CHEMBL206109	DB07685
CHEMBL4297253	DB15075
CHEMBL215303	DB06160
CHEMBL454138	DB12719
CHEMBL334226	DB02752
CHEMBL139367	DB06614
CHEMBL1231248	DB01515
CHEMBL1081615	DB04631
CHEMBL223533	DB02431
CHEMBL592	DB00854
CHEMBL2152922	DB12675
CHEMBL219695	DB08257
CHEMBL2107741	DB17304
CHEMBL1195136	DB06070
CHEMBL2107288	DB11079
CHEMBL1800807	DB06630
CHEMBL272427	DB08834
CHEMBL4297641	DB17117
CHEMBL1159	DB06762
CHEMBL191275	DB08121
CHEMBL328139	DB03370
CHEMBL33720	DB09203
CHEMBL1232416	DB04183
CHEMBL1230564	DB01959
CHEMBL2110849	DB13476
CHEMBL278894	DB07612
CHEMBL187460	DB15579
CHEMBL3833336	DB13780
CHEMBL332958	DB07670
CHEMBL3414626	DB12920
CHEMBL262616	DB07409
CHEMBL178	DB00694
