Drugbank_ID,Uniprot_id
DB00193,P41145
DB00193,P11229
DB00193,P28335
DB00193,Q05586
DB00193,O15399
DB00193,P18825
DB00193,Q14957
DB00193,Q13224
DB00193,Q99250
DB00193,P25103
DB00193,P41143
DB00193,P31645
DB00193,O60391
DB00193,Q12879
DB00195,P08588
DB00195,P07550
DB00197,P37231
DB00197,Q03181
DB00197,P62508
DB00197,Q99808
DB00197,O60488
DB00197,P09211
DB00197,P05121
DB00197,P11474
DB00197,Q07869
DB00198,Q9Y3R4
DB00198,Q99519
DB00199,O43193
DB00199,Q12809
DB00200,Q99707
DB00200,Q9BXJ7
DB00200,O60494
DB00200,Q8IVH4
DB00200,P22033
DB00200,P20061
DB00200,Q9Y4U1
DB00201,Q07343
DB00201,P0DMS8
DB00201,P29274
DB00201,Q9NP56
DB00201,Q13315
DB00201,P21817
DB00201,Q14432
DB00201,Q13370
DB00201,O00329
DB00201,P78527
DB00201,P42336
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,P29275
DB00201,P30542
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P42338
DB00201,O00408
DB00201,O76074
DB00201,Q08499
DB00201,Q08493
DB00201,P27815
DB00201,Q9Y233
DB00201,Q14123
DB00201,Q14643
DB00201,Q01064
DB00201,Q14571
DB00201,P54750
DB00201,Q14573
DB00202,P36544
DB00202,P30926
DB00202,P32297
DB00202,Q15822
DB00202,P20309
DB00202,P17787
DB00202,P08172
DB00202,P30532
DB00202,P43681
DB00202,Q05901
DB00202,Q15825
DB00202,Q9GZZ6
DB00202,Q9UGM1
DB00203,P11926
DB00203,Q9NZQ7
DB00203,P18545
DB00203,Q13956
DB00203,O76074
DB00204,O95069
DB00204,Q14500
DB00204,Q12809
DB00205,P07686
DB00205,P00374
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00207,Q9UM07
DB00208,Q9H244
DB00209,P11229
DB00209,P20309
DB00210,P28702
DB00210,O60603
DB00210,P17174
DB00210,P10276
DB00210,P19793
DB00210,P13631
DB00210,P10826
DB00210,P48443
DB00210,P05412
DB00211,P35368
DB00211,P25100
DB00211,P35348
DB00212,P00797
DB00213,P20648
DB00213,O94760
DB00214,Q13621
DB00214,P55011
DB00215,P31645
DB00215,P35367
DB00216,P08908
DB00216,P28222
DB00216,P28221
DB00216,P30939
DB00217,P48048
DB00217,P08588
DB00217,P13945
DB00217,P08913
DB00217,P18089
DB00217,P07550
DB00217,P18825
DB00218,P11388
DB00218,P27169
DB00219,P11229
DB00221,P07550
DB00221,P08588
DB00222,Q14654
DB00222,Q09428
DB00222,P48048
DB00223,P04150
DB00226,P23975
DB00227,P04035
DB00227,Q92769
DB00227,P20701
DB00228,Q00975
DB00228,O00555
DB00228,Q15878
DB00228,Q9P0X4
DB00228,O95180
DB00228,O00305
DB00228,Q8TCU5
DB00228,O60391
DB00228,P98194
DB00228,O43497
DB00228,P54284
DB00228,Q08289
DB00228,Q02641
DB00228,Q06432
DB00228,Q9Y698
DB00228,O60359
DB00228,Q9UBN1
DB00228,Q9UF02
DB00228,Q9BXT2
DB00228,P62955
DB00228,P23415
DB00228,Q8WXS5
DB00228,Q9NY47
DB00228,Q8IZS8
DB00228,Q7Z3S7
DB00228,Q13936
DB00228,Q01668
DB00228,O60840
DB00228,Q13698
DB00228,P54289
DB00228,O15399
DB00228,Q9UN88
DB00228,Q13224
DB00228,P18507
DB00228,O00591
DB00228,Q8N1C3
DB00228,P78334
DB00228,O14764
DB00228,P28472
DB00228,P47870
DB00228,P18505
DB00228,Q99928
DB00228,P31644
DB00228,Q16445
DB00228,O14983
DB00228,Q12879
DB00228,P34903
DB00228,P14867
DB00228,Q14957
DB00228,P48169
DB00228,P47869
DB00228,Q05586
DB00230,P54289
DB00231,P48169
DB00231,P18507
DB00231,Q8N1C3
DB00231,P78334
DB00231,P14867
DB00231,O14764
DB00231,P47870
DB00231,P47869
DB00231,P18505
DB00231,O00591
DB00231,Q16445
DB00231,P31644
DB00231,P34903
DB00231,Q9UN88
DB00231,P28472
DB00231,Q99928
DB00232,P00918
DB00232,P00915
DB00232,Q13621
DB00232,P22748
DB00233,P35354
DB00233,Q9NZK7
DB00233,P09917
DB00233,O15111
DB00234,P23975
DB00235,Q14432
DB00237,P32297
DB00237,Q9GZZ6
DB00237,Q16099
DB00237,P48169
DB00237,Q15822
DB00237,P31644
DB00237,Q16445
DB00237,P30926
DB00237,O00591
DB00237,Q16478
DB00237,P18505
DB00237,Q05901
DB00237,P42261
DB00237,P47870
DB00237,P28472
DB00237,O14764
DB00237,P78334
DB00237,P39086
DB00237,P43681
DB00237,Q13002
DB00237,Q9UN88
DB00237,Q13003
DB00237,P47869
DB00237,P14867
DB00237,Q8N1C3
DB00237,P42263
DB00237,P34903
DB00237,P36544
DB00237,P48058
DB00237,P18507
DB00237,P17787
DB00237,Q15825
DB00237,Q99928
DB00237,P30532
DB00237,P42262
DB00237,Q9UGM1
DB00239,O75469
DB00240,P04150
