Uniprot_id,Category
Q8N142,Enzymes
Q8N159,Enzymes
Q8N1G2,Enzymes
Q8N4C8,Enzymes
Q8N5S9,Enzymes
Q8N5Z0,Enzymes
Q8NBN7,Enzymes
Q8NEV4,Enzymes
Q8NFM4,Enzymes
Q8TBX8,Enzymes
Q8TC12,Enzymes
Q8TCG2,Enzymes
Q8TCT1,Enzymes
Q8TD08,Enzymes
Q8TD19,Enzymes
Q8TD30,Enzymes
Q8WUI4,Enzymes
Q92696,Enzymes
Q92769,Enzymes
Q92781,Enzymes
Q92793,Enzymes
Q92800,Enzymes
Q92918,Enzymes
Q93088,Enzymes
Q969G6,Enzymes
Q969P6,Enzymes
Q969S2,Enzymes
Q969S8,Enzymes
Q96A70,Enzymes
Q96BR1,Enzymes
Q96DB2,Enzymes
Q96DP5,Enzymes
Q96EB6,Enzymes
Q96FI4,Enzymes
Q96GD4,Enzymes
Q96I99,Enzymes
Q96KS0,Enzymes
Q96L34,Enzymes
Q96NR8,Enzymes
Q96PN6,Enzymes
Q96PY6,Enzymes
Q96Q83,Enzymes
Q96QT4,Enzymes
Q96RQ9,Enzymes
Q96RR4,Enzymes
Q99259,Enzymes
Q99497,Enzymes
Q99519,Enzymes
Q99640,Enzymes
Q99707,Enzymes
Q99759,Enzymes
Q9BQB6,Enzymes
Q9BQI3,Enzymes
Q9BRS2,Enzymes
Q9BUB5,Enzymes
Q9BVS4,Enzymes
Q9BXA7,Enzymes
Q9BY32,Enzymes
Q9BY41,Enzymes
Q9BY49,Enzymes
Q9BY66,Enzymes
Q9BYF1,Enzymes
Q9BYV1,Enzymes
Q9C0B1,Enzymes
Q9GZT9,Enzymes
Q9GZU7,Enzymes
Q9H0K1,Enzymes
Q9H1R3,Enzymes
Q9H2G2,Enzymes
Q9H2K8,Enzymes
Q9H2M3,Enzymes
Q9H2X6,Enzymes
Q9H3S4,Enzymes
Q9H3Y6,Enzymes
Q9H422,Enzymes
Q9H4B4,Enzymes
Q9H6Z9,Enzymes
Q9HAZ1,Enzymes
Q9HBH9,Enzymes
Q9HCR9,Enzymes
Q9NNW7,Enzymes
Q9NP56,Enzymes
Q9NPH2,Enzymes
Q9NQU5,Enzymes
Q9NQX3,Enzymes
Q9NR33,Enzymes
Q9NRF9,Enzymes
Q9NRH2,Enzymes
Q9NRP7,Enzymes
Q9NSD9,Enzymes
Q9NSY1,Enzymes
Q9NWZ3,Enzymes
Q9NWZ5,Enzymes
Q9NXA8,Enzymes
Q9NXB9,Enzymes
Q9NYL2,Enzymes
Q9NYY3,Enzymes
Q9NZK7,Enzymes
Q9P0L2,Enzymes
Q9P0Z9,Enzymes
Q9P286,Enzymes
Q9P289,Enzymes
Q9P2K8,Enzymes
Q9UBC3,Enzymes
Q9UBF8,Enzymes
Q9UBK8,Enzymes
Q9UBN7,Enzymes
Q9UDR5,Enzymes
Q9UEW8,Enzymes
Q9UF33,Enzymes
Q9UGM6,Enzymes
Q9UGN5,Enzymes
Q9UHD2,Enzymes
Q9UI32,Enzymes
Q9UIK4,Enzymes
Q9UK32,Enzymes
Q9UKE5,Enzymes
Q9UKG9,Enzymes
Q9UKI8,Enzymes
Q9UKV0,Enzymes
Q9UL54,Enzymes
Q9UM07,Enzymes
Q9UM73,Enzymes
Q9UNP4,Enzymes
Q9UPZ9,Enzymes
Q9UQB9,Enzymes
Q9UQL6,Enzymes
Q9UQM7,Enzymes
Q9Y230,Enzymes
Q9Y233,Enzymes
Q9Y285,Enzymes
Q9Y2D0,Enzymes
Q9Y2H1,Enzymes
Q9Y2H9,Enzymes
Q9Y2J8,Enzymes
Q9Y2K2,Enzymes
Q9Y2U5,Enzymes
Q9Y2Z4,Enzymes
Q9Y3R4,Enzymes
Q9Y463,Enzymes
Q9Y4K4,Enzymes
Q9Y4U1,Enzymes
Q9Y5K3,Enzymes
Q9Y5Y6,Enzymes
Q9Y616,Enzymes
Q9Y617,Enzymes
Q9Y6E0,Enzymes
Q9Y6K1,Enzymes
Q9Y6R4,Enzymes
Q9Y6T7,Enzymes
O00222,GPCR
O14842,GPCR
O43193,GPCR
O43613,GPCR
O43614,GPCR
O60894,GPCR
O60895,GPCR
O60896,GPCR
O75899,GPCR
O95665,GPCR
O95977,GPCR
P07550,GPCR
P08100,GPCR
P08172,GPCR
P08173,GPCR
P08588,GPCR
P08908,GPCR
P08912,GPCR
P08913,GPCR
P0DMS8,GPCR
P11229,GPCR
P13945,GPCR
P14416,GPCR
P18089,GPCR
P18825,GPCR
P20309,GPCR
P21452,GPCR
P21453,GPCR
P21462,GPCR
P21554,GPCR
P21728,GPCR
P21730,GPCR
P21731,GPCR
P21917,GPCR
P21918,GPCR
P22888,GPCR
P23945,GPCR
P24530,GPCR
P25021,GPCR
P25024,GPCR
P25100,GPCR
P25101,GPCR
P25103,GPCR
P25105,GPCR
P25116,GPCR
P28221,GPCR
P28222,GPCR
P28223,GPCR
P28335,GPCR
P28566,GPCR
P29274,GPCR
P29275,GPCR
P29371,GPCR
P30411,GPCR
P30518,GPCR
P30542,GPCR
P30556,GPCR
P30559,GPCR
P30872,GPCR
P30874,GPCR
P30939,GPCR
P30968,GPCR
P30988,GPCR
P31391,GPCR
P32238,GPCR
P32239,GPCR
P32745,GPCR
P34969,GPCR
P34972,GPCR
P34981,GPCR
P34995,GPCR
P35346,GPCR
P35348,GPCR
P35367,GPCR
P35368,GPCR
P35372,GPCR
P35408,GPCR
P35462,GPCR
P37288,GPCR
P41143,GPCR
P41180,GPCR
P41231,GPCR
P41594,GPCR
P41595,GPCR
P41597,GPCR
P43088,GPCR
P43115,GPCR
P43116,GPCR
P43119,GPCR
P43220,GPCR
P46663,GPCR
P47898,GPCR
P47901,GPCR
P48039,GPCR
P49019,GPCR
P49146,GPCR
P49286,GPCR
P50052,GPCR
P50406,GPCR
P51681,GPCR
P61073,GPCR
Q01718,GPCR
Q13255,GPCR
Q13258,GPCR
Q13639,GPCR
Q14330,GPCR
Q14831,GPCR
Q14833,GPCR
Q15722,GPCR
Q16602,GPCR
Q5NUL3,GPCR
Q6QNK2,GPCR
Q6W5P4,GPCR
Q7RTX0,GPCR
Q8TDS4,GPCR
Q8TDU6,GPCR
Q8TE23,GPCR
Q92847,GPCR
Q99500,GPCR
Q99527,GPCR
Q99705,GPCR
Q99835,GPCR
Q9BXA5,GPCR
Q9H228,GPCR
Q9H244,GPCR
Q9NS75,GPCR
Q9NYV7,GPCR
Q9UBS5,GPCR
Q9Y271,GPCR
Q9Y2T6,GPCR
Q9Y5N1,GPCR
Q9Y5Y4,GPCR
O75469,NR
O95718,NR
P03372,NR
P04150,NR
P06401,NR
P08235,NR
P10275,NR
P10276,NR
P10589,NR
P10826,NR
P10827,NR
P10828,NR
P11474,NR
P13631,NR
P19793,NR
P28702,NR
P35398,NR
P37231,NR
P48443,NR
P51843,NR
P55055,NR
P62508,NR
Q03181,NR
Q07869,NR
Q13133,NR
Q14994,NR
Q92570,NR
Q92731,NR
Q96RI1,NR
A5X5Y0,IC
A8MPY1,IC
O00180,IC
O00305,IC
O00555,IC
O00591,IC
O14649,IC
O14764,IC
O15399,IC
O15554,IC
O43497,IC
O43525,IC
O43526,IC
O60359,IC
O60391,IC
O60840,IC
O60939,IC
O75311,IC
O75762,IC
O95069,IC
O95180,IC
O95259,IC
O95264,IC
P02708,IC
P14867,IC
P15382,IC
P16389,IC
P17658,IC
P17787,IC
P18505,IC
P18507,IC
P21796,IC
P21817,IC
P22001,IC
P22459,IC
P22460,IC
P23415,IC
P24046,IC
P28472,IC
P28476,IC
P29973,IC
P30532,IC
P30926,IC
P31644,IC
P32297,IC
P34903,IC
P35498,IC
P35499,IC
P36544,IC
P37088,IC
P39086,IC
P42261,IC
P42262,IC
P42263,IC
P43681,IC
P46098,IC
P47869,IC
P47870,IC
P48048,IC
P48050,IC
P48051,IC
P48058,IC
P48167,IC
P48169,IC
P48544,IC
P48547,IC
P48549,IC
P51168,IC
P51170,IC
P51172,IC
P51787,IC
P51800,IC
P54284,IC
P54289,IC
P56373,IC
P56696,IC
P62955,IC
P63252,IC
P78334,IC
P78348,IC
P78508,IC
Q00975,IC
Q01118,IC
Q01668,IC
Q02641,IC
Q05586,IC
Q05901,IC
Q06432,IC
Q07699,IC
Q08289,IC
Q09470,IC
Q12791,IC
Q12809,IC
Q12879,IC
Q13002,IC
Q13003,IC
Q13224,IC
Q13698,IC
Q13936,IC
Q14003,IC
Q14500,IC
Q14524,IC
Q14571,IC
Q14573,IC
Q14643,IC
Q14654,IC
Q14721,IC
Q14957,IC
Q15822,IC
Q15825,IC
Q15842,IC
Q15858,IC
Q15878,IC
Q16099,IC
Q16322,IC
Q16445,IC
Q16478,IC
Q16515,IC
Q16558,IC
Q70Z44,IC
Q7Z2W7,IC
Q7Z3S7,IC
Q86W47,IC
Q8IWT1,IC
Q8N1C3,IC
Q8NER1,IC
Q8NET8,IC
Q8TCU5,IC
Q8TD43,IC
Q8WXA8,IC
Q8WXS5,IC
Q92736,IC
Q92806,IC
Q92952,IC
Q92953,IC
Q96PR1,IC
Q96QT4,IC
Q96RP8,IC
Q99250,IC
Q99571,IC
Q99712,IC
Q99928,IC
Q9BXT2,IC
Q9GZZ6,IC
Q9H252,IC
Q9H2S1,IC
Q9HBA0,IC
Q9NPA1,IC
Q9NPC2,IC
Q9NR82,IC
Q9NSA2,IC
Q9NY46,IC
Q9NY72,IC
Q9NZV8,IC
Q9P0X4,IC
Q9UBL9,IC
