Uniprot_id,Family,KEGG,ChEMBL,GtoPdb,score
P15382,IC,1,1,0,2
P15502,Others,0,0,0,0
P15531,Enzymes,1,1,0,2
P15538,Enzymes,1,1,1,3
P15559,Enzymes,1,1,0,2
P15814,Others,0,0,0,0
P15880,Others,0,0,0,0
P15924,Others,0,0,0,0
P15954,Others,0,0,0,0
P16050,Enzymes,1,1,1,3
P16066,Enzymes,1,1,0,2
P16152,Enzymes,1,1,1,3
P16220,Others,0,0,0,0
P16233,Enzymes,1,1,1,3
P16234,Enzymes,1,1,0,2
P16389,IC,1,1,1,3
P16455,Enzymes,1,1,0,2
P16499,Enzymes,1,1,1,3
P16581,Others,0,0,0,0
P16591,Enzymes,1,1,1,3
P16615,Enzymes,1,1,0,2
P16860,Others,0,0,0,0
P17050,Enzymes,1,1,0,2
P17174,Enzymes,1,1,0,2
P17252,Enzymes,1,1,1,3
P17302,IC,0,0,1,1
P17405,Enzymes,1,1,1,3
P17540,Enzymes,1,0,0,1
P17544,Others,0,0,0,0
P17612,Enzymes,1,1,1,3
P17658,IC,1,1,1,3
P17676,Others,0,0,0,0
P17735,Enzymes,1,1,1,3
P17752,Enzymes,1,1,1,3
P17787,IC,1,1,1,3
P17812,Enzymes,1,1,1,3
P17844,Enzymes,1,1,0,2
P17900,Others,0,0,0,0
P17936,Others,0,0,0,0
P17948,Enzymes,1,1,0,2
P17980,Enzymes,0,1,0,1
P18031,Enzymes,1,1,1,3
P18089,GPCR,1,1,1,3
P18405,Enzymes,1,1,0,2
P18505,IC,1,1,1,3
P18507,IC,1,1,1,3
P18545,Enzymes,0,1,1,2
P18669,Enzymes,1,1,0,2
P18825,GPCR,1,1,1,3
P18846,Others,0,0,0,0
P18847,Others,0,0,0,0
P18848,Others,0,0,0,0
P18850,Others,0,0,0,0
P18858,Enzymes,1,1,0,2
P19021,Enzymes,1,1,0,2
P19099,Enzymes,1,1,1,3
P19235,Others,0,0,0,0
P19320,Others,0,0,0,0
P19367,Enzymes,1,1,0,2
P19429,Others,0,0,0,0
P19525,Enzymes,1,1,1,3
P19634,Others,0,0,0,0
P19784,Enzymes,1,1,1,3
P19793,NR,1,1,1,3
P19801,Enzymes,1,1,0,2
P19835,Enzymes,0,1,1,2
P19838,Others,0,0,0,0
P19878,Others,0,0,0,0
P19971,Enzymes,1,1,0,2
P20020,Enzymes,1,0,0,1
P20061,Others,0,0,0,0
P20309,GPCR,1,1,1,3
P20594,Enzymes,1,1,0,2
P20618,Enzymes,1,1,1,3
P20648,Enzymes,1,1,0,2
P20674,Others,0,0,0,0
