DrugBank_id,Uniprot_id
DB09119,Q01118
DB14575,Q01118
DB00252,Q15858
DB00280,Q15858
DB00296,Q15858
DB00379,Q15858
DB00532,Q15858
DB00645,Q15858
DB00680,Q15858
DB00721,Q15858
DB00740,Q15858
DB00750,Q15858
DB00754,Q15858
DB00794,Q15858
DB00807,Q15858
DB00892,Q15858
DB00908,Q15858
DB00961,Q15858
DB01035,Q15858
DB01056,Q15858
DB01121,Q15858
DB01173,Q15858
DB01182,Q15858
DB01228,Q15858
DB01320,Q15858
DB01438,Q15858
DB04855,Q15858
DB09119,Q15858
DB14575,Q15858
DB00280,Q99250
DB00281,Q99250
DB00296,Q99250
DB00379,Q99250
DB00532,Q99250
DB00645,Q99250
DB00680,Q99250
DB00721,Q99250
DB00740,Q99250
DB00750,Q99250
DB00754,Q99250
DB00794,Q99250
DB00807,Q99250
DB00892,Q99250
DB00908,Q99250
DB00961,Q99250
DB01035,Q99250
DB01056,Q99250
DB01121,Q99250
DB01173,Q99250
DB01182,Q99250
DB01228,Q99250
DB01320,Q99250
DB01438,Q99250
DB04855,Q99250
DB06201,Q99250
DB06218,Q99250
DB09119,Q99250
DB14575,Q99250
DB00280,P35498
DB00281,P35498
DB00296,P35498
DB00379,P35498
DB00532,P35498
DB00645,P35498
DB00680,P35498
DB00721,P35498
DB00740,P35498
DB00750,P35498
DB00754,P35498
DB00794,P35498
DB00807,P35498
DB00892,P35498
DB00908,P35498
DB00961,P35498
DB01035,P35498
DB01056,P35498
DB01173,P35498
DB01182,P35498
DB01228,P35498
DB01320,P35498
DB04855,P35498
DB06201,P35498
DB06218,P35498
DB09119,P35498
DB14575,P35498
DB00280,Q9NY46
DB00281,Q9NY46
DB00296,Q9NY46
DB00379,Q9NY46
DB00532,Q9NY46
DB00645,Q9NY46
DB00680,Q9NY46
DB00721,Q9NY46
DB00740,Q9NY46
DB00750,Q9NY46
DB00754,Q9NY46
DB00794,Q9NY46
DB00807,Q9NY46
DB00892,Q9NY46
DB00908,Q9NY46
DB00961,Q9NY46
DB01035,Q9NY46
DB01056,Q9NY46
DB01121,Q9NY46
DB01173,Q9NY46
DB01182,Q9NY46
DB01228,Q9NY46
DB01320,Q9NY46
DB01438,Q9NY46
DB04855,Q9NY46
DB06201,Q9NY46
DB09119,Q9NY46
DB14575,Q9NY46
DB00261,Q13370
DB00277,Q13370
DB00806,Q13370
DB00922,Q13370
DB00975,Q13370
DB04880,Q13370
DB00420,P35462
DB00450,P35462
DB00679,P35462
DB00831,P35462
DB00420,P21917
DB00450,P21917
DB00502,P21917
DB00679,P21917
DB00831,P21917
DB01100,P21917
DB00269,Q92731
DB00539,Q92731
DB00947,Q92731
DB04575,Q92731
DB04938,Q92731
DB00273,P42263
DB08883,P42263
DB00273,P42262
DB08883,P42262
DB00273,P48058
DB08883,P48058
DB08329,P22748
DB00273,P42261
DB00276,Q02880
DB00444,Q02880
DB00806,P27815
DB01148,P27815
DB03849,P27815
DB00277,Q08499
DB00806,Q08499
DB00975,Q08499
DB01148,Q08499
DB06751,Q08499
DB00806,Q07343
DB00975,Q07343
DB01148,Q07343
DB06751,Q07343
DB00277,Q08493
DB00806,Q08493
DB00975,Q08493
DB01148,Q08493
DB03849,Q08493
DB06751,Q08493
DB12789,P43088
DB04839,P06401
DB09371,P06401
DB12637,P06401
DB08329,P43166
DB08329,P00915
DB00311,P35218
DB08329,P35218
DB08329,P07451
DB00311,Q16790
DB08329,Q16790
DB00311,Q9Y2D0
DB08329,Q9Y2D0
DB00311,O43570
DB01144,O43570
DB08329,O43570
DB11973,P00533
DB00331,P03886
DB00331,P56181
DB00331,O95298
DB00877,P62942
DB01590,P62942
DB06287,P62942
DB00350,O60706
DB01100,P21728
DB04836,P21728
DB00356,O15554
DB00648,P05108
